,DATE,MARKET_CAP,MATIC_AVERAGE_PRICE,CIRCULATING_SUPPLY,HOLDERS
373,2021-04-04,1686066750.67113,0.3635292745,4638049447.36648,49595
374,2021-05-10,4819726495.64182,0.9305429749,5179477601.59704,71726
375,2021-05-19,11020084856.6935,2.142288319,5144071766.77671,71795
376,2022-07-28,6298424373.21884,0.9025854963,6978202507.19915,449880
377,2020-07-06,58692806.0444191,0.01936241609,3031274907.62935,5016
378,2020-09-15,60837876.9464453,0.02069724186,2939419530.89426,9599
379,2020-06-20,69925709.602838,0.02105266283,3321466276.15358,3709
380,2021-05-31,9471886366.7849,1.841320805,5144071766.77671,71795
381,2021-09-02,7829154383.24364,1.471137276,5321838085.43921,138766
382,2021-10-01,6753312142.13436,1.205424057,5602436835.55888,174033
383,2021-10-15,8207968407.98884,1.452644807,5650361578.99196,190681
384,2021-11-18,10141713240.9553,1.568813342,6464576101.54382,247583
385,2022-01-22,10286108296.0612,1.58371189,6494936584.18243,326023
386,2021-02-06,216916555.347814,0.05130051365,4228350554.89733,21056
387,2021-02-07,226724577.310471,0.05363989753,4226789903.81117,21153
388,2020-06-18,68182692.2709137,0.02054876799,3318091494.14845,3609
389,2020-10-03,55961956.9002505,0.01841352882,3039176110.36479,10387
390,2021-08-07,6002903641.55187,1.122148687,5349472588.95354,107252
391,2021-10-30,11975332525.966,1.924956778,6221091644.70326,214647
392,2020-07-05,58515196.2488077,0.01915332137,3055093949.68031,4925
393,2020-06-28,65959317.1739081,0.01995490741,3305418352.56658,4053
394,2022-06-06,4282472354.74463,0.632685522,6768721909.71512,421565
395,2022-06-08,4031131064.15753,0.5945805117,6779790095.70487,422642
396,2022-06-12,3536356363.35979,0.5214451454,6781837733.61245,424638
